,bucket_en_entier,bucket,ID,Sex,Good sex prediction,age,Age predicted
4971,3,"(25, 30]",4972.0,0.0,1.0,29.0,3.0
35068,4,"(30, 35]",35069.0,1.0,0.0,32.0,2.0
8481,3,"(25, 30]",8482.0,0.0,1.0,28.0,2.0
15602,5,"(35, 40]",15603.0,1.0,1.0,38.0,3.0
19421,7,"(45, 65]",19422.0,0.0,0.0,56.0,1.0
186,6,"(40, 45]",187.0,0.0,1.0,41.0,1.0
15745,4,"(30, 35]",15746.0,0.0,1.0,33.0,3.0
500,3,"(25, 30]",501.0,0.0,1.0,26.0,2.0
11160,7,"(45, 65]",11161.0,1.0,1.0,48.0,1.0
29648,7,"(45, 65]",29649.0,0.0,0.0,46.0,1.0
12239,7,"(45, 65]",12240.0,1.0,1.0,50.0,1.0
38682,4,"(30, 35]",38683.0,1.0,0.0,34.0,1.0
20946,3,"(25, 30]",20947.0,0.0,1.0,28.0,1.0
24534,4,"(30, 35]",24535.0,0.0,1.0,35.0,2.0
37278,6,"(40, 45]",37279.0,1.0,1.0,43.0,1.0
14678,4,"(30, 35]",14679.0,1.0,1.0,31.0,2.0
28065,5,"(35, 40]",28066.0,1.0,1.0,40.0,1.0
11912,3,"(25, 30]",11913.0,0.0,1.0,28.0,1.0
24251,7,"(45, 65]",24252.0,0.0,0.0,55.0,1.0
33633,7,"(45, 65]",33634.0,0.0,0.0,57.0,1.0
36220,5,"(35, 40]",36221.0,0.0,0.0,37.0,3.0
8175,4,"(30, 35]",8176.0,1.0,1.0,35.0,1.0
9850,6,"(40, 45]",9851.0,0.0,0.0,44.0,1.0
349,7,"(45, 65]",350.0,0.0,1.0,52.0,1.0
9817,6,"(40, 45]",9818.0,0.0,1.0,45.0,3.0
20383,5,"(35, 40]",20384.0,1.0,0.0,38.0,2.0
8616,7,"(45, 65]",8617.0,0.0,0.0,65.0,3.0
8089,7,"(45, 65]",8090.0,0.0,1.0,62.0,1.0
37999,4,"(30, 35]",38000.0,0.0,1.0,31.0,1.0
226,6,"(40, 45]",227.0,0.0,1.0,41.0,1.0
27754,7,"(45, 65]",27755.0,1.0,1.0,58.0,1.0
21651,3,"(25, 30]",21652.0,0.0,0.0,28.0,1.0
35365,5,"(35, 40]",35366.0,0.0,0.0,39.0,1.0
1364,4,"(30, 35]",1365.0,0.0,0.0,34.0,1.0
21681,3,"(25, 30]",21682.0,0.0,0.0,30.0,2.0
36583,5,"(35, 40]",36584.0,1.0,1.0,39.0,3.0
8888,7,"(45, 65]",8889.0,0.0,0.0,52.0,3.0
27385,8,"(65, 70]",27386.0,0.0,0.0,68.0,1.0
24102,7,"(45, 65]",24103.0,1.0,0.0,58.0,1.0
32813,9,"(70, 150]",32814.0,1.0,1.0,74.0,2.0
3967,7,"(45, 65]",3968.0,0.0,0.0,53.0,2.0
27882,5,"(35, 40]",27883.0,0.0,0.0,37.0,1.0
33490,7,"(45, 65]",33491.0,0.0,0.0,48.0,2.0
10622,6,"(40, 45]",10623.0,0.0,0.0,44.0,3.0
9289,9,"(70, 150]",9290.0,1.0,1.0,74.0,1.0
12109,1,"(18, 20]",12110.0,1.0,0.0,20.0,1.0
4438,7,"(45, 65]",4439.0,0.0,0.0,54.0,1.0
37540,7,"(45, 65]",37541.0,0.0,0.0,56.0,1.0
4411,5,"(35, 40]",4412.0,1.0,1.0,37.0,2.0
18162,6,"(40, 45]",18163.0,1.0,1.0,44.0,1.0
26606,4,"(30, 35]",26607.0,0.0,1.0,33.0,1.0
13191,6,"(40, 45]",13192.0,0.0,0.0,43.0,3.0
30807,6,"(40, 45]",30808.0,0.0,0.0,42.0,3.0
34342,7,"(45, 65]",34343.0,1.0,1.0,51.0,1.0
25362,7,"(45, 65]",25363.0,0.0,0.0,61.0,1.0
34730,7,"(45, 65]",34731.0,1.0,0.0,57.0,1.0
38252,5,"(35, 40]",38253.0,1.0,1.0,37.0,1.0
27647,7,"(45, 65]",27648.0,0.0,0.0,57.0,3.0
